PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,title
1, Not Survived,3,male,22.0,1,0,7.25,Southampton,Mr
2,Survived,1,female,38.0,1,0,71.2833,Cherbourg,Mrs
3,Survived,3,female,26.0,0,0,7.925,Southampton,Miss
4,Survived,1,female,35.0,1,0,53.1,Southampton,Mrs
5, Not Survived,3,male,35.0,0,0,8.05,Southampton,Mr
6, Not Survived,3,male,,0,0,8.4583,Queenstown,Mr
7, Not Survived,1,male,54.0,0,0,51.8625,Southampton,Mr
8, Not Survived,3,male,2.0,3,1,21.075,Southampton,Master
9,Survived,3,female,27.0,0,2,11.1333,Southampton,Mrs
10,Survived,2,female,14.0,1,0,30.0708,Cherbourg,Mrs
11,Survived,3,female,4.0,1,1,16.7,Southampton,Miss
12,Survived,1,female,58.0,0,0,26.55,Southampton,Miss
13, Not Survived,3,male,20.0,0,0,8.05,Southampton,Mr
14, Not Survived,3,male,39.0,1,5,31.275,Southampton,Mr
15, Not Survived,3,female,14.0,0,0,7.8542,Southampton,Miss
16,Survived,2,female,55.0,0,0,16.0,Southampton,Mrs
17, Not Survived,3,male,2.0,4,1,29.125,Queenstown,Master
18,Survived,2,male,,0,0,13.0,Southampton,Mr
19, Not Survived,3,female,31.0,1,0,18.0,Southampton,Mrs
20,Survived,3,female,,0,0,7.225,Cherbourg,Mrs
21, Not Survived,2,male,35.0,0,0,26.0,Southampton,Mr
22,Survived,2,male,34.0,0,0,13.0,Southampton,Mr
23,Survived,3,female,15.0,0,0,8.0292,Queenstown,Miss
24,Survived,1,male,28.0,0,0,35.5,Southampton,Mr
25, Not Survived,3,female,8.0,3,1,21.075,Southampton,Miss
26,Survived,3,female,38.0,1,5,31.3875,Southampton,Mrs
27, Not Survived,3,male,,0,0,7.225,Cherbourg,Mr
28, Not Survived,1,male,19.0,3,2,263.0,Southampton,Mr
29,Survived,3,female,,0,0,7.8792,Queenstown,Miss
30, Not Survived,3,male,,0,0,7.8958,Southampton,Mr
31, Not Survived,1,male,40.0,0,0,27.7208,Cherbourg,Mr
32,Survived,1,female,,1,0,146.5208,Cherbourg,Mrs
33,Survived,3,female,,0,0,7.75,Queenstown,Miss
34, Not Survived,2,male,66.0,0,0,10.5,Southampton,Mr
35, Not Survived,1,male,28.0,1,0,82.1708,Cherbourg,Mr
36, Not Survived,1,male,42.0,1,0,52.0,Southampton,Mr
37,Survived,3,male,,0,0,7.2292,Cherbourg,Mr
38, Not Survived,3,male,21.0,0,0,8.05,Southampton,Mr
39, Not Survived,3,female,18.0,2,0,18.0,Southampton,Miss
40,Survived,3,female,14.0,1,0,11.2417,Cherbourg,Miss
41, Not Survived,3,female,40.0,1,0,9.475,Southampton,Mrs
42, Not Survived,2,female,27.0,1,0,21.0,Southampton,Mrs
43, Not Survived,3,male,,0,0,7.8958,Cherbourg,Mr
44,Survived,2,female,3.0,1,2,41.5792,Cherbourg,Miss
45,Survived,3,female,19.0,0,0,7.8792,Queenstown,Miss
46, Not Survived,3,male,,0,0,8.05,Southampton,Mr
47, Not Survived,3,male,,1,0,15.5,Queenstown,Mr
48,Survived,3,female,,0,0,7.75,Queenstown,Miss
49, Not Survived,3,male,,2,0,21.6792,Cherbourg,Mr
50, Not Survived,3,female,18.0,1,0,17.8,Southampton,Mrs
51, Not Survived,3,male,7.0,4,1,39.6875,Southampton,Master
52, Not Survived,3,male,21.0,0,0,7.8,Southampton,Mr
53,Survived,1,female,49.0,1,0,76.7292,Cherbourg,Mrs
54,Survived,2,female,29.0,1,0,26.0,Southampton,Mrs
55, Not Survived,1,male,65.0,0,1,61.9792,Cherbourg,Mr
56,Survived,1,male,,0,0,35.5,Southampton,Mr
57,Survived,2,female,21.0,0,0,10.5,Southampton,Miss
58, Not Survived,3,male,28.5,0,0,7.2292,Cherbourg,Mr
59,Survived,2,female,5.0,1,2,27.75,Southampton,Miss
60, Not Survived,3,male,11.0,5,2,46.9,Southampton,Master
61, Not Survived,3,male,22.0,0,0,7.2292,Cherbourg,Mr
62,Survived,1,female,38.0,0,0,80.0,,Miss
63, Not Survived,1,male,45.0,1,0,83.475,Southampton,Mr
64, Not Survived,3,male,4.0,3,2,27.9,Southampton,Master
65, Not Survived,1,male,,0,0,27.7208,Cherbourg,Mr
66,Survived,3,male,,1,1,15.2458,Cherbourg,Master
67,Survived,2,female,29.0,0,0,10.5,Southampton,Mrs
68, Not Survived,3,male,19.0,0,0,8.1583,Southampton,Mr
69,Survived,3,female,17.0,4,2,7.925,Southampton,Miss
70, Not Survived,3,male,26.0,2,0,8.6625,Southampton,Mr
71, Not Survived,2,male,32.0,0,0,10.5,Southampton,Mr
72, Not Survived,3,female,16.0,5,2,46.9,Southampton,Miss
73, Not Survived,2,male,21.0,0,0,73.5,Southampton,Mr
74, Not Survived,3,male,26.0,1,0,14.4542,Cherbourg,Mr
75,Survived,3,male,32.0,0,0,56.4958,Southampton,Mr
76, Not Survived,3,male,25.0,0,0,7.65,Southampton,Mr
77, Not Survived,3,male,,0,0,7.8958,Southampton,Mr
78, Not Survived,3,male,,0,0,8.05,Southampton,Mr
79,Survived,2,male,0.83,0,2,29.0,Southampton,Master
80,Survived,3,female,30.0,0,0,12.475,Southampton,Miss
81, Not Survived,3,male,22.0,0,0,9.0,Southampton,Mr
82,Survived,3,male,29.0,0,0,9.5,Southampton,Mr
83,Survived,3,female,,0,0,7.7875,Queenstown,Miss
84, Not Survived,1,male,28.0,0,0,47.1,Southampton,Mr
85,Survived,2,female,17.0,0,0,10.5,Southampton,Miss
86,Survived,3,female,33.0,3,0,15.85,Southampton,Mrs
87, Not Survived,3,male,16.0,1,3,34.375,Southampton,Mr
88, Not Survived,3,male,,0,0,8.05,Southampton,Mr
89,Survived,1,female,23.0,3,2,263.0,Southampton,Miss
90, Not Survived,3,male,24.0,0,0,8.05,Southampton,Mr
91, Not Survived,3,male,29.0,0,0,8.05,Southampton,Mr
92, Not Survived,3,male,20.0,0,0,7.8542,Southampton,Mr
93, Not Survived,1,male,46.0,1,0,61.175,Southampton,Mr
94, Not Survived,3,male,26.0,1,2,20.575,Southampton,Mr
95, Not Survived,3,male,59.0,0,0,7.25,Southampton,Mr
96, Not Survived,3,male,,0,0,8.05,Southampton,Mr
97, Not Survived,1,male,71.0,0,0,34.6542,Cherbourg,Mr
98,Survived,1,male,23.0,0,1,63.3583,Cherbourg,Mr
99,Survived,2,female,34.0,0,1,23.0,Southampton,Mrs
100, Not Survived,2,male,34.0,1,0,26.0,Southampton,Mr
101, Not Survived,3,female,28.0,0,0,7.8958,Southampton,Miss
102, Not Survived,3,male,,0,0,7.8958,Southampton,Mr
103, Not Survived,1,male,21.0,0,1,77.2875,Southampton,Mr
104, Not Survived,3,male,33.0,0,0,8.6542,Southampton,Mr
105, Not Survived,3,male,37.0,2,0,7.925,Southampton,Mr
106, Not Survived,3,male,28.0,0,0,7.8958,Southampton,Mr
107,Survived,3,female,21.0,0,0,7.65,Southampton,Miss
108,Survived,3,male,,0,0,7.775,Southampton,Mr
109, Not Survived,3,male,38.0,0,0,7.8958,Southampton,Mr
110,Survived,3,female,,1,0,24.15,Queenstown,Miss
111, Not Survived,1,male,47.0,0,0,52.0,Southampton,Mr
112, Not Survived,3,female,14.5,1,0,14.4542,Cherbourg,Miss
113, Not Survived,3,male,22.0,0,0,8.05,Southampton,Mr
114, Not Survived,3,female,20.0,1,0,9.825,Southampton,Miss
115, Not Survived,3,female,17.0,0,0,14.4583,Cherbourg,Miss
116, Not Survived,3,male,21.0,0,0,7.925,Southampton,Mr
117, Not Survived,3,male,70.5,0,0,7.75,Queenstown,Mr
118, Not Survived,2,male,29.0,1,0,21.0,Southampton,Mr
119, Not Survived,1,male,24.0,0,1,247.5208,Cherbourg,Mr
120, Not Survived,3,female,2.0,4,2,31.275,Southampton,Miss
121, Not Survived,2,male,21.0,2,0,73.5,Southampton,Mr
122, Not Survived,3,male,,0,0,8.05,Southampton,Mr
123, Not Survived,2,male,32.5,1,0,30.0708,Cherbourg,Mr
124,Survived,2,female,32.5,0,0,13.0,Southampton,Miss
125, Not Survived,1,male,54.0,0,1,77.2875,Southampton,Mr
126,Survived,3,male,12.0,1,0,11.2417,Cherbourg,Master
127, Not Survived,3,male,,0,0,7.75,Queenstown,Mr
128,Survived,3,male,24.0,0,0,7.1417,Southampton,Mr
129,Survived,3,female,,1,1,22.3583,Cherbourg,Miss
130, Not Survived,3,male,45.0,0,0,6.975,Southampton,Mr
131, Not Survived,3,male,33.0,0,0,7.8958,Cherbourg,Mr
132, Not Survived,3,male,20.0,0,0,7.05,Southampton,Mr
133, Not Survived,3,female,47.0,1,0,14.5,Southampton,Mrs
134,Survived,2,female,29.0,1,0,26.0,Southampton,Mrs
135, Not Survived,2,male,25.0,0,0,13.0,Southampton,Mr
136, Not Survived,2,male,23.0,0,0,15.0458,Cherbourg,Mr
137,Survived,1,female,19.0,0,2,26.2833,Southampton,Miss
138, Not Survived,1,male,37.0,1,0,53.1,Southampton,Mr
139, Not Survived,3,male,16.0,0,0,9.2167,Southampton,Mr
140, Not Survived,1,male,24.0,0,0,79.2,Cherbourg,Mr
141, Not Survived,3,female,,0,2,15.2458,Cherbourg,Mrs
142,Survived,3,female,22.0,0,0,7.75,Southampton,Miss
143,Survived,3,female,24.0,1,0,15.85,Southampton,Mrs
144, Not Survived,3,male,19.0,0,0,6.75,Queenstown,Mr
145, Not Survived,2,male,18.0,0,0,11.5,Southampton,Mr
146, Not Survived,2,male,19.0,1,1,36.75,Southampton,Mr
147,Survived,3,male,27.0,0,0,7.7958,Southampton,Mr
148, Not Survived,3,female,9.0,2,2,34.375,Southampton,Miss
149, Not Survived,2,male,36.5,0,2,26.0,Southampton,Mr
150, Not Survived,2,male,42.0,0,0,13.0,Southampton,Reverend
151, Not Survived,2,male,51.0,0,0,12.525,Southampton,Reverend
152,Survived,1,female,22.0,1,0,66.6,Southampton,Mrs
153, Not Survived,3,male,55.5,0,0,8.05,Southampton,Mr
154, Not Survived,3,male,40.5,0,2,14.5,Southampton,Mr
155, Not Survived,3,male,,0,0,7.3125,Southampton,Mr
156, Not Survived,1,male,51.0,0,1,61.3792,Cherbourg,Mr
157,Survived,3,female,16.0,0,0,7.7333,Queenstown,Miss
158, Not Survived,3,male,30.0,0,0,8.05,Southampton,Mr
159, Not Survived,3,male,,0,0,8.6625,Southampton,Mr
160, Not Survived,3,male,,8,2,69.55,Southampton,Master
161, Not Survived,3,male,44.0,0,1,16.1,Southampton,Mr
162,Survived,2,female,40.0,0,0,15.75,Southampton,Mrs
163, Not Survived,3,male,26.0,0,0,7.775,Southampton,Mr
164, Not Survived,3,male,17.0,0,0,8.6625,Southampton,Mr
165, Not Survived,3,male,1.0,4,1,39.6875,Southampton,Master
166,Survived,3,male,9.0,0,2,20.525,Southampton,Master
167,Survived,1,female,,0,1,55.0,Southampton,Mrs
168, Not Survived,3,female,45.0,1,4,27.9,Southampton,Mrs
169, Not Survived,1,male,,0,0,25.925,Southampton,Mr
170, Not Survived,3,male,28.0,0,0,56.4958,Southampton,Mr
171, Not Survived,1,male,61.0,0,0,33.5,Southampton,Mr
172, Not Survived,3,male,4.0,4,1,29.125,Queenstown,Master
173,Survived,3,female,1.0,1,1,11.1333,Southampton,Miss
174, Not Survived,3,male,21.0,0,0,7.925,Southampton,Mr
175, Not Survived,1,male,56.0,0,0,30.6958,Cherbourg,Mr
176, Not Survived,3,male,18.0,1,1,7.8542,Southampton,Mr
177, Not Survived,3,male,,3,1,25.4667,Southampton,Master
178, Not Survived,1,female,50.0,0,0,28.7125,Cherbourg,Miss
179, Not Survived,2,male,30.0,0,0,13.0,Southampton,Mr
180, Not Survived,3,male,36.0,0,0,0.0,Southampton,Mr
181, Not Survived,3,female,,8,2,69.55,Southampton,Miss
